epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4337,1.65602,1.21321,1.22687,1.88435,0.13011,0.53566,0.21509,0.08514,0.09693,0.39996,0.1246,0.0404,2.53583,1.44606,3.38771,2.69673,0.074013,1.3e-05,1.3e-05
2,54.9994,1.43747,1.14046,1.12723,1.78214,0.54389,0.62067,0.57136,0.29413,0.40245,0.46142,0.36169,0.12036,1.83808,1.11486,1.54805,2.15251,0.0470261,2.6076e-05,2.6076e-05
3,77.5813,1.44771,1.15741,1.1056,1.74683,0.68283,0.71353,0.69264,0.41594,0.52221,0.55816,0.47204,0.17238,1.51718,1.00054,1.21229,1.81182,0.0200387,3.872e-05,3.872e-05
4,98.0603,1.38745,1.039,1.08084,1.73883,0.6916,0.69896,0.70389,0.45928,0.55859,0.57899,0.52434,0.22526,1.36653,0.95404,1.15383,1.62726,4.76e-05,4.76e-05,4.76e-05
5,120.963,1.3641,1.07848,1.10296,1.71825,0.73068,0.67952,0.70783,0.47144,0.59807,0.55044,0.52769,0.22915,1.34038,0.96576,1.15879,1.5775,4.68e-05,4.68e-05,4.68e-05
6,141.172,1.30986,1.07919,1.05844,1.68357,0.71224,0.70667,0.7114,0.47993,0.58257,0.56425,0.52943,0.23478,1.32293,0.98206,1.15828,1.55879,4.6e-05,4.6e-05,4.6e-05
7,162.446,1.36173,1.0879,1.07084,1.6888,0.70521,0.70132,0.71128,0.48468,0.61108,0.55999,0.53471,0.2414,1.30055,0.99133,1.16455,1.53081,4.52e-05,4.52e-05,4.52e-05
8,183.144,1.33127,1.10537,1.06145,1.68373,0.70968,0.68934,0.71383,0.48837,0.61807,0.56473,0.54509,0.2454,1.27534,0.9751,1.14864,1.51242,4.44e-05,4.44e-05,4.44e-05
9,205.927,1.27174,1.07209,1.05886,1.67345,0.72257,0.68329,0.71104,0.4864,0.6159,0.56447,0.54103,0.23781,1.28579,0.95749,1.14845,1.51245,4.36e-05,4.36e-05,4.36e-05
10,225.824,1.25024,1.04609,1.00817,1.65367,0.71994,0.71867,0.71877,0.49071,0.60505,0.56671,0.53538,0.2368,1.29236,0.96031,1.13241,1.51545,4.28e-05,4.28e-05,4.28e-05
11,246.905,1.27434,1.09835,1.06684,1.69758,0.74086,0.70454,0.716,0.48864,0.60562,0.56447,0.52297,0.23711,1.30694,0.96939,1.13046,1.51567,4.2e-05,4.2e-05,4.2e-05
12,267.708,1.29745,1.10858,1.0403,1.62775,0.74976,0.68176,0.71011,0.49441,0.59949,0.56853,0.52599,0.23347,1.26294,0.98474,1.12453,1.49636,4.12e-05,4.12e-05,4.12e-05
13,287.794,1.2964,1.10966,1.05512,1.65435,0.72272,0.66132,0.70576,0.49324,0.58588,0.57473,0.52736,0.23614,1.26391,0.98193,1.15406,1.49966,4.04e-05,4.04e-05,4.04e-05
14,309.95,1.23935,1.07801,1.00347,1.65022,0.68933,0.69792,0.70428,0.49071,0.5766,0.57501,0.52944,0.2435,1.26737,0.98297,1.15276,1.5011,3.96e-05,3.96e-05,3.96e-05
15,330.576,1.24343,1.07512,1.01948,1.64674,0.74242,0.69816,0.71828,0.49991,0.61535,0.58036,0.5405,0.25651,1.2656,0.95991,1.13065,1.50449,3.88e-05,3.88e-05,3.88e-05
